phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct
holdout_2026,IEK,шт,7,all,mean28,14288,1866,185942.0,222163.25,80.359,19.48,30.44,49.919,74.384
holdout_2026,IEK,шт,7,all,weekly_ewma,14288,1866,185942.0,220859.48,78.267,18.779,29.744,48.523,74.384
holdout_2026,IEK,шт,7,all,robust_ewma,14288,1866,185942.0,196642.955,71.928,5.755,33.087,38.842,74.384
holdout_2026,IEK,шт,7,all,seasonal364,14288,1866,185942.0,199817.0,86.469,7.462,39.504,46.966,74.384
holdout_2026,IEK,шт,7,all,seasonal_blend,14288,1866,185942.0,220586.465,82.751,18.632,32.06,50.691,74.384
holdout_2026,IEK,шт,7,all,selected_2025,14288,1866,185942.0,196642.955,71.928,5.755,33.087,38.842,74.384
holdout_2026,IEK,шт,7,intermittent,sultan_mean59,10571,1603,9617.0,9186.017,157.686,-4.481,81.084,76.602,88.156
holdout_2026,IEK,шт,7,intermittent,mean28,10571,1603,9617.0,8268.0,154.242,-14.027,84.135,70.108,88.156
holdout_2026,IEK,шт,7,intermittent,weekly_ewma,10571,1603,9617.0,8729.529,155.118,-9.228,82.173,72.945,88.156
holdout_2026,IEK,шт,7,intermittent,robust_ewma,10571,1603,9617.0,7735.442,148.358,-19.565,83.962,64.397,88.156
holdout_2026,IEK,шт,7,intermittent,seasonal364,10571,1603,9617.0,15168.0,226.942,57.721,84.611,142.331,88.156
holdout_2026,IEK,шт,7,intermittent,seasonal_blend,10571,1603,9617.0,10160.995,169.541,5.657,81.942,87.599,88.156
holdout_2026,IEK,шт,7,intermittent,selected_2025,10571,1603,9617.0,7735.442,148.358,-19.565,83.962,64.397,88.156
holdout_2026,IEK,шт,7,no_ambiguous_rows_sensitivity,sultan_mean59,14096,1842,157531.0,183329.881,80.656,16.377,32.14,48.517,75.043
holdout_2026,IEK,шт,7,no_ambiguous_rows_sensitivity,mean28,14096,1842,157531.0,185371.75,84.688,17.673,33.508,51.181,75.043
holdout_2026,IEK,шт,7,no_ambiguous_rows_sensitivity,weekly_ewma,14096,1842,157531.0,183460.296,82.383,16.46,32.962,49.421,75.043
holdout_2026,IEK,шт,7,no_ambiguous_rows_sensitivity,robust_ewma,14096,1842,157531.0,161134.206,75.665,2.287,36.689,38.976,75.043
holdout_2026,IEK,шт,7,no_ambiguous_rows_sensitivity,seasonal364,14096,1842,157531.0,173388.0,93.251,10.066,41.592,51.658,75.043
holdout_2026,IEK,шт,7,no_ambiguous_rows_sensitivity,seasonal_blend,14096,1842,157531.0,184920.38,87.42,17.387,35.017,52.403,75.043
holdout_2026,IEK,шт,7,no_ambiguous_rows_sensitivity,selected_2025,14096,1842,157531.0,161134.206,75.665,2.287,36.689,38.976,75.043
holdout_2026,IEK,шт,7,regular,sultan_mean59,3717,745,176325.0,210244.881,71.864,19.237,26.313,45.55,35.217
holdout_2026,IEK,шт,7,regular,mean28,3717,745,176325.0,213895.25,76.329,21.307,27.511,48.818,35.217
holdout_2026,IEK,шт,7,regular,weekly_ewma,3717,745,176325.0,212129.951,74.075,20.306,26.885,47.191,35.217
holdout_2026,IEK,шт,7,regular,robust_ewma,3717,745,176325.0,188907.513,67.76,7.136,30.312,37.448,35.217
holdout_2026,IEK,шт,7,regular,seasonal364,3717,745,176325.0,184649.0,78.808,4.721,37.044,41.764,35.217
holdout_2026,IEK,шт,7,regular,seasonal_blend,3717,745,176325.0,210425.47,78.017,19.34,29.339,48.678,35.217
holdout_2026,IEK,шт,7,regular,selected_2025,3717,745,176325.0,188907.513,67.76,7.136,30.312,37.448,35.217
holdout_2026,IEK,м,7,all,sultan_mean59,857,109,60521.0,63527.847,98.687,4.968,46.859,51.827,63.477
holdout_2026,IEK,м,7,all,mean28,857,109,60521.0,67410.0,105.859,11.383,47.238,58.621,63.477
holdout_2026,IEK,м,7,all,weekly_ewma,857,109,60521.0,66168.042,103.673,9.331,47.171,56.502,63.477
holdout_2026,IEK,м,7,all,robust_ewma,857,109,60521.0,50887.091,92.697,-15.918,54.308,38.389,63.477
holdout_2026,IEK,м,7,all,seasonal364,857,109,60521.0,69888.0,112.389,15.477,48.456,63.933,63.477
holdout_2026,IEK,м,7,all,seasonal_blend,857,109,60521.0,64889.999,99.04,7.219,45.91,53.129,63.477
holdout_2026,IEK,м,7,all,selected_2025,857,109,60521.0,50887.091,92.697,-15.918,54.308,38.389,63.477
holdout_2026,IEK,м,7,regular,sultan_mean59,341,60,52718.0,59745.475,93.153,13.33,39.912,53.242,28.152
holdout_2026,IEK,м,7,regular,mean28,341,60,52718.0,64294.5,102.553,21.959,40.297,62.256,28.152
holdout_2026,IEK,м,7,regular,weekly_ewma,341,60,52718.0,63093.853,100.245,19.682,40.282,59.964,28.152
holdout_2026,IEK,м,7,regular,robust_ewma,341,60,52718.0,48197.698,88.26,-8.574,48.417,39.843,28.152
holdout_2026,IEK,м,7,regular,seasonal364,341,60,52718.0,58408.0,97.496,10.793,43.351,54.145,28.152
holdout_2026,IEK,м,7,regular,seasonal_blend,341,60,52718.0,60343.547,93.358,14.465,39.447,53.912,28.152
holdout_2026,IEK,м,7,regular,selected_2025,341,60,52718.0,48197.698,88.26,-8.574,48.417,39.843,28.152
holdout_2026,IEK,м,7,no_ambiguous_rows_sensitivity,sultan_mean59,849,108,53748.0,57233.424,100.805,6.485,47.16,53.645,64.075
holdout_2026,IEK,м,7,no_ambiguous_rows_sensitivity,mean28,849,108,53748.0,60941.25,108.975,13.383,47.796,61.179,64.075
